Date,Equipment.Id,Failure.Equipment.Type,Op.Amperage,Op.Temperature,Op.Voltage,Rotor Speed
2025/5/18 0:00,CNC_001,0,29.271402,102.834978,319.65391,282.350602
2025/5/18 0:14,CNC_001,0,29.180127,96.320218,317.781652,246.842046
2025/5/18 0:28,CNC_001,0,26.124239,97.66682,303.785211,267.711892
2025/5/18 0:43,CNC_001,0,38.002078,95.827987,380.758058,259.950173
2025/5/18 0:57,CNC_001,0,31.76321,92.297783,248.168051,276.355733
2025/5/18 1:12,CNC_001,6,27.064544,86.328955,373.255369,248.011406
2025/5/18 1:26,CNC_001,6,31.346211,86.375207,332.119544,282.700597
2025/5/18 1:40,CNC_001,6,25.806868,91.004887,240.555679,236.936994
2025/5/18 1:55,CNC_001,6,30.439127,102.323805,335.228019,247.635532
2025/5/18 2:09,CNC_001,6,33.134642,90.882291,289.407392,308.463105
2025/5/18 2:24,CNC_001,4,21.425235,97.956945,324.507957,294.271514
2025/5/18 2:38,CNC_001,4,23.082196,86.782033,343.093355,241.819794
2025/5/18 2:52,CNC_001,4,34.68202,90.73591,261.940823,261.108648
2025/5/18 3:07,CNC_001,0,31.119298,69.478457,314.304318,235.532019
2025/5/18 3:21,CNC_001,0,29.753521,87.972164,225.34904,258.649734
2025/5/18 3:36,CNC_001,0,27.087753,96.496649,195.208366,307.35055
2025/5/18 3:50,CNC_001,0,24.759806,97.37259,321.858606,283.404814
2025/5/18 4:04,CNC_001,0,22.094539,95.515892,284.006715,237.42516
2025/5/18 4:19,CNC_001,0,29.345792,99.06649,304.984893,253.732548
2025/5/18 4:33,CNC_001,0,34.295288,85.729788,288.628134,286.560116
2025/5/18 4:48,CNC_001,0,25.511663,89.733215,280.320159,282.27653
2025/5/18 5:02,CNC_001,0,34.498878,87.936515,350.600987,223.623148
2025/5/18 5:16,CNC_001,0,24.859082,88.406312,274.881637,246.176282
2025/5/18 5:31,CNC_001,0,21.826165,85.272086,322.24918,232.76658
2025/5/18 5:45,CNC_001,0,25.697199,91.102311,343.059037,253.636079
2025/5/18 6:00,CNC_001,0,31.407637,90.462295,336.535667,238.735184
2025/5/18 6:14,CNC_001,0,29.058549,92.947021,205.448437,203.095011
2025/5/18 6:28,CNC_001,0,29.326737,91.785256,233.457457,223.504438
2025/5/18 6:43,CNC_001,0,22.545744,98.088187,263.321878,212.701753
2025/5/18 6:57,CNC_001,0,29.076452,97.555899,313.86294,230.4352
2025/5/19 0:00,CNC_001,0,23.373544,79.125801,292.085583,278.944776
2025/5/19 0:14,CNC_001,0,27.593343,97.160413,208.496168,284.197218
2025/5/19 0:28,CNC_001,0,23.429889,93.933385,259.223591,305.003209
2025/5/19 0:43,CNC_001,0,26.078066,87.447901,259.329869,278.081026
2025/5/19 0:57,CNC_001,0,25.357893,81.355054,344.932966,339.858712
2025/5/19 1:12,CNC_001,0,29.823316,86.166566,281.284187,275.228752
2025/5/19 1:26,CNC_001,0,30.429831,100.897513,332.77871,246.697528
2025/5/19 1:40,CNC_001,0,29.689248,92.96564,277.410511,266.075395
2025/5/19 1:55,CNC_001,0,29.535835,87.716745,231.161093,237.816053
2025/5/19 2:09,CNC_001,0,25.755227,82.956918,290.783005,166.742153
2025/5/19 2:24,CNC_001,0,31.557461,89.017236,368.417763,234.803087
2025/5/19 2:38,CNC_001,0,25.352142,94.072529,159.101352,291.026539
